,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
IDN,123200,119900,116100,112100,108100,104300,100300,96500,92700,88700,85100,81600,78000,74500,71100,68300,65300,62600,59400,56700,54500,52500,50500,48200,46000,43900,42000,40100,38200,36800,34800,33300,31800,31800,31800,31800,31800,31800
IND,151000,147300,143500,139600,135800,132100,128800,125600,122500,119700,116800,114200,111500,109000,106600,104000,101400,98500,95800,93200,90500,87700,85000,82400,79600,77200,74600,72300,70000,67700,65500,63400,61300,61300,61300,61300,61300,61300
IRL,15400,14400,13500,12600,11900,11300,10900,10500,10200,9800,9400,9000,8600,8200,7800,7500,7400,7300,7300,7200,7200,7000,6700,6300,5900,5600,5200,5000,4700,4500,4300,4100,4000,4000,4000,4000,4000,4000
IRN,114400,106500,98800,92700,86500,81700,77500,73400,70000,66800,63700,61100,58500,56200,54100,51800,49300,47700,46900,46400,45700,44000,41400,38800,37000,34900,33700,31800,30500,28500,27300,26200,25000,25000,25000,25000,25000,25000
IRQ,73400,68800,64800,60600,57400,54500,52100,50200,48900,47600,46600,46000,45500,45300,45300,45100,44800,44500,44000,43700,43300,42800,42300,42000,41500,41000,40500,40100,39700,39200,38900,38600,37900,37900,37900,37900,37900,37900
ISL,10000,9500,9100,8700,8300,7900,7600,7300,7000,6800,6500,6300,6100,5900,5600,5300,5000,4800,4500,4300,4100,3900,3700,3600,3400,3300,3100,3000,2900,2800,2700,2600,2500,2500,2500,2500,2500,2500
ISR,19500,18300,17500,16600,15800,15100,14400,13800,13100,12600,12000,11500,10900,10400,9800,9200,8700,8300,7800,7500,7200,6900,6600,6400,6100,5800,5600,5300,5100,4900,4700,4500,4300,4300,4300,4300,4300,4300
ITA,17200,16200,15200,14300,13500,12800,12100,11500,10900,10400,10000,9700,9200,8800,8400,7900,7500,7000,6600,6200,5900,5600,5300,5000,4800,4600,4500,4300,4200,4100,4000,3900,3700,3700,3700,3700,3700,3700
JAM,48200,46800,45400,44200,42800,41300,40300,39100,37800,36700,35700,34500,33500,32600,31600,30800,29800,28800,28000,27200,26500,25500,24800,24300,23400,22600,22100,21400,20700,20100,19600,19000,18300,18300,18300,18300,18300,18300
JOR,62300,59200,56100,53200,50400,47600,44900,42500,40600,39000,38000,36700,35600,34600,33500,32800,32200,31200,30400,29500,28800,28000,27200,26600,25700,25000,24400,23700,23200,22600,21800,21100,20700,20700,20700,20700,20700,20700
JPN,10500,9900,9400,8900,8400,8000,7600,7200,6900,6700,6500,6400,6200,6100,6000,5800,5600,5400,5200,5000,4700,4500,4300,4200,4000,3900,3700,3600,3500,3400,3300,3200,3400,3400,3400,3400,3400,3400
KAZ,69600,68300,67500,66300,65500,64200,62900,61700,60400,59400,58100,57000,55700,54600,53300,52000,50600,49100,47300,45700,44200,42300,40700,39300,37900,36400,35200,33700,32800,31300,30100,29200,28300,28300,28300,28300,28300,28300
KEN,112300,108300,105300,102800,99800,97400,95800,93500,92100,92800,94400,97800,102300,106700,108600,110400,112200,113700,114800,116300,116700,113100,109200,105500,101900,98300,94100,90200,86500,82500,79400,76100,72800,72800,72800,72800,72800,72800
KGZ,104400,100900,97300,93500,90200,87400,85000,82200,79400,76100,73100,70300,67400,64900,62300,60000,57500,55200,53100,51200,49100,47400,45300,43500,41800,40400,38700,37400,35800,34500,33300,31700,30600,30600,30600,30600,30600,30600
KHM,31426,186700,169400,152500,139300,128700,123700,120500,118800,118000,116900,116700,116900,117300,117600,118300,118900,119400,119100,115700,108700,101500,94500,87300,80800,74500,68700,63300,58000,53700,49700,46000,42500,42500,42500,42500,42500,42500
KIR,119800,116400,113100,110000,107000,104000,101100,98100,95400,92600,90000,87600,84800,82500,80000,77700,75600,73200,71200,69200,67100,65300,63300,61500,59600,58000,56300,54800,53300,51600,50000,48700,47400,47400,47400,47400,47400,47400
KNA,49000,47000,45000,43200,40900,38800,36800,34700,32600,31100,29600,28300,27200,26200,25300,24300,22900,21400,20100,18600,17400,16300,15100,14200,13300,12300,11400,10600,10000,9300,8600,8100,7400,7400,7400,7400,7400,7400
KOR,19600,17800,16200,14800,13400,12000,10900,9900,9200,8500,8000,7500,7000,6700,6400,6300,6200,6100,6000,5900,5900,5700,5700,5600,5500,5400,5300,5200,5100,5000,4900,4900,4800,4800,4800,4800,4800,4800
KWT,36200,33700,31400,29200,27200,25100,23000,21300,19700,18500,17600,16900,16200,15500,15000,14500,14000,13600,13300,13100,12900,12700,12500,12400,12200,12000,11800,11700,11500,11300,11200,11000,10900,10900,10900,10900,10900,10900
LAO,193100,189900,186300,182400,178900,175300,171400,168200,165000,160000,154900,147700,139000,131200,124300,116700,110000,103300,97500,91500,86200,81300,76400,71800,67600,63400,59700,56100,53000,49600,47000,43900,41900,41900,41900,41900,41900,41900
LBN,45000,44000,43100,42500,41500,40300,39200,38000,36700,35600,34500,33100,32200,30300,28600,27000,25600,24100,22600,21300,19900,19000,17800,16600,15600,14600,13700,12800,12000,11200,10600,9900,9300,9300,9300,9300,9300,9300
LBR,237900,237300,234900,231000,226900,227700,228800,232000,234900,238300,240300,241200,241800,237000,232600,227700,218800,208500,199000,186600,174300,163800,153600,144100,134300,126100,116800,109700,103600,96400,89200,83100,78300,78300,78300,78300,78300,78300
LBY,77300,72400,67700,63600,60800,58300,56100,53400,51000,48500,46200,44100,42000,39800,37900,36300,34600,33100,31400,29900,28500,27100,25900,24700,23600,22400,21500,20500,19500,18700,17700,17000,16200,16200,16200,16200,16200,16200
LCA,36300,34200,32000,30200,28700,27500,26600,25700,25000,24100,23300,22500,21700,20900,20300,19800,19400,19100,18900,18700,18500,18100,17900,17600,17400,17100,16900,16700,16500,16200,16100,15800,15600,15600,15600,15600,15600,15600
LKA,48300,45800,43600,41400,39300,37400,35700,34100,32700,31300,30100,28900,27700,26500,25500,24500,23500,22500,21600,20700,20000,19100,18400,17700,17000,16300,15700,15100,14400,13800,13300,12600,12200,12200,12200,12200,12200,12200
LSO,126500,120500,115200,111300,107900,104300,101200,98200,94200,91600,89400,87500,86300,85800,86900,89600,94100,99500,105200,110200,114300,117300,119000,119900,120300,120000,118900,116400,110700,98600,95800,93000,86000,86000,86000,86000,86000,86000
LTU,23000,22400,21800,21000,20300,19500,18700,18000,17400,17100,17200,17400,17500,17600,17300,16900,16100,15100,14100,13200,12400,11800,11200,10800,10300,9700,9100,8500,7900,7300,6700,6200,5700,5700,5700,5700,5700,5700
