"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"CYP",60,540,3660,60,20,20,0,0,0,80,20,400,0,0,0,1100,20,20,0,0,NA,0,0,0,20,0,0,20,0,360,0,20,1800,200,0,0,60
"CZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,48400,16780,8320,280,180,100,200,280,380,40,180,120,80,600,340,0,140,40,40,100,0,340,440,300,4440,180,140,2840
"DEU",105800,40580,195960,235180,11360,3980,3780,340,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120480,93140,15580,2420,15560,46140,11340,18340,11480,15600,32140,3320,35420,8720,49280,6520,18580
"DJI",NA,25921.3553472484,54338.6695378851,110294.925435578,27371.3816305855,57287.4529625571,24347.6709390314,51892.6244676159,50068.9256844716,26999.1881332703,22199.7557786204,28653.2446243147,23503.3831231603,50473.2699329288,22083.2301375939,45681.6653882005,59257.6380125773,32310.3248416575,40021.7595349027,31190.1550310246,25623.7982073807,24018.940039516,22744.088414508,23127.2736535643,46349.0566039912,23313.9198387142,24089.3176542955,30693.1218262837,22509.9851243848,24036.2167610302,26139.7584665994,68775.8925271322,22068.6801854449,22289.4228845688,25585.3213700271,20903.1621001897,25521.6924776984
"DMA",540,40,20,3760,1280,900,1640,200,180,260,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"DNK",713020,313120,664840,423760,263740,469800,125360,12360,8100,3600,3240,2580,2300,720,400,2380,1220,NA,NA,280,220,640,0,0,40,540,40,280,120,100,1680,40,340,580,180,60,80
"DOM",68200,73420,59200,88580,88340,10020,9980,13840,30100,69540,150240,153000,92740,60,0,0,20,280,5480,5080,2260,0,0,0,0,0,0,0,0,0,40,0,0,1080,0,0,0
"DZA",1302509.10809502,1922645.5365963,1857919.1626856,1862968.32268628,1605634.35220784,1224474.15004646,1086718.1093173,1021300.68614898,1017858.46327731,968242.370333223,1012856.53864866,1068919.25238859,983007.329777147,994417.335042265,1028768.70892479,1252335.80404965,727198.832898727,795857.217070849,812021.083632011,884637.566687133,864710.509512067,888591.905279822,907041.289119986,225209.554966682,414608.768340848,574630.247182138,710784.124228608,827084.442527009,930793.40449979,1003049.87912486,1049339.58646798,1033137.9015544,1049406.40176873,461515.510991441,302480.548624305,452006.272022233,293910.491254929
"ECU",93560,32940,51120,139580,23660,16780,30740,160080,72980,32920,31700,87120,72540,73360,18380,840,0,0,0,0,40,0,0,0,0,0,0,20,0,0,5260,1440,0,0,0,20,0
"EGY",493800.668061829,1376297.78986681,380208.624806186,1139445.10075284,1313577.92729676,382896.847845557,488940.637827759,908453.749128791,985207.108330379,323746.157272177,364856.210000764,1151002.62714051,712974.420412837,415971.900872958,491108.525107787,1133444.93317009,1130020.80851922,1224002.97603507,430687.269443984,730737.980763533,569650.328687524,249547.994794103,154338.673983442,129526.286641789,136742.16867669,503599.58887485,481352.443505564,250713.891691232,233420.608122669,149044.011289749,155641.304080659,232856.767714669,208083.839020747,911357.297682292,1411813.75244539,225499.762114962,124700.171057446
"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126343.405658593,97820.0613415109,93153.0751223433,174878.247518665,118337.742622987,112107.285727805,178435.010160835,96099.2424479329,117411.569011651,117178.078803936,45710.6229980181,61507.7553984558,78369.9163349698,54563.7384065955,61798.9790398864,72212.5573165745,52441.2444307723,64093.0508833009,83242.9625215063,58106.2687457448,70831.2595406405,24924.6680157158,23730.2145745987,94402.7630041585
"ESP",2933780,3191240,6087000,778280,1613260,4402180,702920,454020,658160,433000,488900,489200,239700,135920,176980,99280,36840,8920,4920,3040,NA,1340,5120,520,440,7240,5340,5940,820,6040,76040,24080,2620,5260,2300,740,3220
"EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,660,2580,1420,6240,4600,340,380,360,340,240,180,0,0,0,0,40,540,20,0,0,0,140,80,40,780,80,40,20
"ETH",1088752.29625268,2004220.5364979,2772669.5292836,3411505.74568042,2922637.38053105,3821090.08072723,4185203.48138945,4386849.97883116,4415367.22875479,4315504.10423055,4349305.94391121,4454836.57138232,4427643.0582779,4230228.9035689,4196825.70248197,4098332.97769222,4051267.70150588,4083666.05155849,4211272.79041456,4253283.24627568,1499284.18970757,2158684.13382178,2388580.00415632,2141960.91488325,1730097.63863362,2109550.45506975,693654.997849536,1168252.38017397,1603321.02723253,1711484.41809878,585657.221559668,726679.520489365,1133542.48117738,484348.552693829,850773.500774975,938883.774507304,425917.948263561
