"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"48",135,10,5,940,320,225,410,50,45,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"49",178255,78280,166210,105940,65935,117450,31340,3090,2025,900,810,645,575,180,100,595,305,NA,NA,70,55,160,0,0,10,135,10,70,30,25,420,10,85,145,45,15,20
"50",17050,18355,14800,22145,22085,2505,2495,3460,7525,17385,37560,38250,23185,15,0,0,5,70,1370,1270,565,0,0,0,0,0,0,0,0,0,10,0,0,270,0,0,0
"51",510043.916385299,972923.064583187,981975.541098164,995267.287332256,769899.330166361,479323.950108843,356180.523164972,291223.744567392,272600.048937054,238084.508351735,253136.777032497,286736.309262134,248763.359696938,250009.762137821,268578.842418734,406882.52807558,162659.121557645,144940.532219183,128175.70378988,120089.167832356,115656.582220457,124926.765889671,219395.819352948,3289,2647.37441063253,3387.36014000176,4134.02945830263,5134.26187813217,7381.53763021254,9633.71951907979,12062.0913932387,13693.8828024683,16104.995109503,5614.3369923282,2227.36635857009,3646.12635375492,1695.31422389356
"52",23390,8235,12780,34895,5915,4195,7685,40020,18245,8230,7925,21780,18135,18340,4595,210,0,0,0,0,10,0,0,0,0,0,0,5,0,0,1315,360,0,0,0,5,0
"53",405220.631258967,1288081.06111263,307994.844285563,1034525.72051318,1197628.28300322,301789.60232967,395815.291719902,790101.086885415,869207.362746207,245560.456506361,270795.497509601,1013543.40501598,606871.842018781,326472.623529591,389160.82794246,999150.747501156,1006861.67350312,1093278.57056795,333314.381022099,592572.903797733,455372.470448982,166024.805210483,39391.6838301451,28403.6682168765,24444.8711451856,263183.666984826,359077.650087419,165596.929628649,135869.938058137,10641.5866204135,11401.0644254947,49525.2216990221,85372.8435881431,707337.903666649,1269137.24775603,160788.639043695,56251.1118687079
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56319.2227176193,42944.099541045,72828.4758248213,105262.343602206,63236.8666167783,53346.5516565338,102933.854348842,42604.5422080092,51605.1780055058,55128.7535880229,6465.61496355656,8361.73408899918,14766.3689367103,7960.49893843089,8881.91271690827,13060.7077478259,7487.46178123804,9989.36488208659,19134.972048436,11354.933664439,15735.2451408451,11168.0457721347,6743.90804256092,57280.5119970914
"55",733445,797810,1521750,194570,403315,1100545,175730,113505,164540,108250,122225,122300,59925,33980,44245,24820,9210,2230,1230,760,NA,335,1280,130,110,1810,1335,1485,205,1510,19010,6020,655,1315,575,185,805
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,165,645,355,1560,1150,85,95,90,85,60,45,0,0,0,0,10,135,5,0,0,0,35,20,10,195,20,10,5
"57",113993.59212693,230949.211748931,370735.737975904,541615.662463851,1646618.05312635,1584550.41839605,1549445.47611768,1548700.4954247,1508510.79938239,1421231.24291328,1426129.7725229,1490120.45654002,1489469.54785416,1386246.86911197,1370832.25791155,1318782.30219561,1294647.27490287,1318853.46644393,1406674.548743,1455150.12152029,366469.616083429,525494.552703977,589490.641501621,510895.650000463,377306.347510437,465604.909744404,81725.61201921,146695.899457798,220828.387161754,246927.64303807,48485.7538309887,58269.8775440771,111697.350144764,30008.2684072164,67585.3243902114,112400.439763548,29988.0979244358
