,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.5,0.5,0.5,0.5,0.5
IRL,0,0,0,0,0,0,0,0,0,0,0,0,0.7098,0.7098,0.7098,0.7007,0.7007,0.7007,0.7007,0.7007,0.7189,0.6643,0.6643,0.7098,0.7371,0.7644,0.7826,0.7917,0.8099,0.8099,0.8099,0.8099,0.8099,0.8099,0.8099,0.8099,0.8099,0.8099
IRN,0.3549,0.4368,0.5005,0.3458,0.3458,0.5642,0.5005,0.5005,0.7553,0.7189,0.7735,0.7644,0.8736,0.8736,0.8827,0.8645,0.9009,0.8645,0.9009,0.96,1,0.94,0.96,0.96,1,0.92,0.98,0.97,0.96,0.99,0.99,0.99,0.97,0.97,0.97,0.97,0.97,0.97
IRQ,0,0,0,0,0,0,0,0,0,0.7189,0.6825,0.6461,0.6097,0.5733,0.6552,0.728,0.7462,0.7735,0.8008,0.819,0.0014,0.66,0.728,0.6916,0.646,0.74,0.68,0.8,0.6279,1.021,0.906,0.909,0.821,0.821,0.821,0.821,0.821,0.821
ISL,0,0,0,0.7371,0.8736,0.8736,0.8645,0.8827,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.8918,0.9009,0.9009,0.9009,0.8827,0.8554,0.8281,0.8008,0.8281,0.92,0.89,0.9,0.93,0.95,0.94,0.93,0.93,0.9,0.97,0.97,0.97,0.97,0.97,0.97
ISR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954,0,0,0,0.97,0.97,0.95,0.96,0.92,0.92,0.88,0.88,0.88,0.88,0.88,0.88,0.88
ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7826,0.7917,0.8008,0.819,0.819,0.8281,0.8281,0.8281,0.8281,0.8281,0.8281,0.8281,0.8281,0.8281
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.7826,0.7189,0.95,0.105,0.437,0.167,0.8,0.785,0.565,0.598,0.756,0.756,0.756,0.756,0.756,0.756
JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8372,0.8554,0.8645,0.8463,0.7553,0.83,0.87,0.9,0.91,0.98,0.92,0.88,0.97,0.9,0.9,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96
JPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8736,0.779072635,0.918,0.965064891,0.922916013,0.922,0.922,0.922,0.922,0.922,0.922
KAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8645,0.8827,0.8827,0.9009,0.998,1.01,0.95,0.98,1,1,0.964,1.0017,0.991,0.987,0.991,1,0.993,0.971,0.971,0.971,0.971,0.971,0.971
KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0.8554,0.8463,0.8008,0.8827,0.8918,0.8918,0.8918,0.99,0.958,0.985,0.976,0.982,0.981,0.98,0.974,0.95,0.967,0.985,0.977,0.981,0.984,0.984,0.984,0.984,0.984,0.984
KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818,0.818,0.818,0.818,0.818,0.818
KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8463,0.6552,0.35,0.21,0.61,0.093,0.093,0.093,0.093,0.093,0.093
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8827,0.9009,0.9009,0.99,0.819,0.9009,0.8918,0.98,0.9009,0.9009,0.9009,0.941,1.017,1.212,1.008,0.899,0.899,0.899,0.899,0.899,0.899
KOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387,0.8827,0.95,0.95,0.995,0.999,0.999,0.999,1,1,0.984,0.983,0.97,0.97,0.97,0.97,0.97,0.97
KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9009,0.8645,0.9009,0.8736,0.9009,0.9009,0.8827,0.8827,0.8827,0.77,0.955,0.904,0.862,0.935,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0.092,0.092,0.092,0.092,0.092
LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7735,0.7735,0.8099,0.7553,0.9888,0.87,0.88,0.94,0.94,0.4823,0.166,0.485,0.3,0.71,0.88,0.89,0.859,0.88,0.88,0.88,0.88,0.88,0.88
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814,0,0,0.95,0.95,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
LCA,0,0,0,0,0,0,0,0,0,0,0,0.8827,0.6825,0.8554,0.8372,0.8554,0.8645,0.8645,0.819,0.8645,0.8926,0.73,0.8918,0.819,0.67,0.8554,0.8554,0.8554,0.218377547,0.629568789,0.74,0.716,0.799,0.799,0.799,0.799,0.799,0.799
LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0.918,0.9,0.95,0.99,0.98,0.97,0.97,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
LSO,0,0.4459,0.4641,0.4823,0.5733,0.6643,0.6916,0.7098,0.7189,0.7189,0.728,0.7371,0.7371,0.7462,0.7462,0.7553,0.7462,0.728,0.7189,0.7007,0.6734,0.46,0.5,0.47,0.56,0.7735,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
LTU,0,0,0,0,0,0,0,0,0,0,0,0,0.8099,0.8372,0.8463,0.8554,0.8736,0.8736,0.8827,0.8827,0.971,0.96,0.953,0.926,0.934,0.95,0.936,0.962,0.964,0.94,0.95,0.937038352,0.93,0.93,0.93,0.93,0.93,0.93
LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LVA,0,0,0,0,0,0,0,0,0,0,0,0,0.8645,0.728,0.7371,0.7371,0.8736,0.8827,0.8827,0.8827,0.899,0.948,0.958,0.971,0.924,0.983,0.981,0.98,0.975,0.965,0.94,0.912,0.947,0.947,0.947,0.947,0.947,0.947
MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0.91,0.92,0.92,0.92,0.8736,0.8918,0.8918,0.8918,0.8918,0.8918,0.8918,0.8918,0.8918,0.8918
MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009
MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689,0.957,0.978,0.979,0.991,0.954,0.973,0.976,0.98,0.965,0.95,0.95,0.95,0.95,0.95,0.95
MDG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.85,0.56,0.8827,0.96,0.96,0.96146721,0.99,0.99,0.99,0.99,0.99,0.99
MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7189,0.819,0.819,0.8463,0.8281,0.8736,0.8554,0.984,0.986,0.888,0.9627,0.8736,0.9678,0.552,0.853,0.943,0.921014932,0.91,0.965935424,0.918,0.918,0.918,0.918,0.918,0.918
