"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"MHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MKD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15485,0,0,0,0,0,0,0,0
"MLI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9405,0,0,0.9405,0,0,0.9405,0,0,0,0.879312685,0.1045,0,0,0.1045,0,0
"MLT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39045,0.55005,0.26695,0,0,0.893,0,0,0,0,0.925699475,0,0,0.925699475,0,0
"MNE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65075,0,0.86165,0,0,0,0.798,0,0,0,0,0,0,0.9215,0,0,0,0,0.89015,0,0,0.89015,0,0
"MOZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89205,0,0,0.9405,0,0,0.9405,0,0.931732316145,0,0,0.931732316145,0
"MRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9025,0,0,0,0.8265,0,0,0,0,0.9405,0,0,0,0,0,0,0.5871,0.019,0,0.904223990555,0.019,0,0.904223990555
"MUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8455,0,0,0,0,0,0,0.9405,0,0,0.931,0,0,0.9405,0,0.90754776059,0,0,0.90754776059,0
"MYS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912,0,0,0,0,0,0,0,0,0.95,0.95,0,0.95,0.95
"NAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9215,0.931,0,0.76,0,0,0.893,0,0,0,0,0,0.5,0,0,0.86507722,0,0.95,0.86507722,0,0.95
"NER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88445,0.05225,0,0,0.9405,0,0.9405,0,0.9405,0,0,0.9405,0,0
"NGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47025,0.4256,0,0.9215,0,0,0.9405,0,0.93381209519,0,0,0.93381209519,0
"NIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9215,0,0.931,0,0.9215,0,0,0,0.9405,0.9405,0.057,0,0.9405,0,0,0.14345,0.9405,0,0,0.9405,0,0
"NIU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52155,0.4237,0,0,0.8835,0,0,0,0.874,0,0,0.874,0,0
"NRU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703,0,0.47975,0.62225,0,0.33345,0.4427,0.04845,0.95,0.949076319655,0.04845,0.95,0.949076319655
"PAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62225,0,0,0,0,0,0,0.931,0,0,0.03705,0,0.893,0,0,0,0,0,0,0,0,0
"PER",0,0,0,0,0,0,0,0,0,0,0,0,0.7277,0,0,0.9215,0,0.9386,0,0,0,0.9215,0,0,0,0,0,0,0,0,0,0.75128888,0,0,0,0,0,0
"PHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8968,0,0,0,0,0,0.893,0,0,0.9025,0,0.01425,0,0.9291,0,0,0.95,0,0,0.95
"PLW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786067525,0,0,0,0,0,0
"PNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8949,0,0,0,0,0,0.0798,0.53865,0.7904,0,0,0,0.77425,0,0,0.83139041,0,0,0.83139041,0,0
"POL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88635,0,0,0,0,0,0,0,0.9405,0,0,0,0,0,0,0,0,0,0
"PRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73625,0,0,0.9405,0,0,0,0,0.88635,0,0,0,0,0,0.91865,0,0,0,0.95,0.95,0,0.95,0.95
"QAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7201,0,0,0,0,0,0,0.627,0,0,0,0,0,0,0,0,0,0
"ROU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8835,0,0,0,0,0,0,0,0,0,0,0,0,0.00285,0,0,0,0,0,0
"RUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0.95
