"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"MKD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3620,3600,49900,4580,4340,21120,7280,NA,1060,720,540,380,360,180,100,60,20,540,100,4340,14020,0
"MLI",168260,328640,175180,89880,594640,93380,87040,89560,72100,27760,269460,156600,211900,68400,66120,219900,70620,204800,50120,31560,89280,14340,4640,3440,660,2560,40,1960,58780,34380,480,6820
"MLT",2420,30600,12400,1160,3500,36880,920,340,340,120,160,860,60,160,540,320,100,60,20,40,40,140,80,80,120,20,40,20,20,0,60,0
"MMR",536420,502040,378380,331600,327720,76600,110800,86460,77660,158000,88740,35880,53640,37100,23400,33680,20700,29300,15820,16900,50380,14720,16600,26580,6280,15200,21760,6660,6580,3800,40920,43500
"MNE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,100,0
"MNG",13900,4180,38700,594760,10500,2660,7560,60880,43520,5920,13120,21380,1420,3540,11100,2560,80,160,200,18500,213540,24100,360,0,0,520,240,620,160,140,0,0
"MOZ",327160,238180,234680,250160,330140,322180,254980,242840,456640,361640,101180,61840,115980,192360,83320,185020,306480,313860,78720,147500,141700,143100,577960,187920,251960,3660,5340,80,1200,46420,3540,2900
"MRT",173160,134860,314200,224060,302460,106360,46460,8680,100640,27580,92020,99800,115080,53360,3900,NA,9980,26060,105260,NA,27960,17660,72220,100780,2540,440,220,80,6440,25840,4680,700
"MUS",0,80,0,120,40,100,0,40,0,20,0,140,1760,200,120,0,0,NA,0,0,0,NA,15540,560,140,60,260,240,300,240,40,0
"MWI",275250.25119017,441125.943428384,577522.874247278,485963.179557962,545744.713747392,514000.727905177,501845.075287629,445414.413361455,444429.88281843,451687.618054638,323270.752269186,319898.060362529,287904.947796748,278334.743479482,271215.986426,272966.183196134,276810.504048205,266737.41928605,72097.1425064349,161913.079302486,220614.298713227,258073.589244708,264560.520973519,264767.731911484,262006.847989684,109773.197063751,179538.282924634,217883.220088697,94826.9606608587,228007.36879157,234613.005658616,242478.870142972
"MYS",113800,185360,186260,162940,103260,93980,108580,46080,20540,11260,5500,7260,10840,6920,13080,9200,12540,9660,51520,123740,43960,8160,12640,114580,28140,11280,7880,6680,3060,1460,31380,37360
"NAM",NA,NA,NA,NA,NA,NA,337480,89640,NA,NA,NA,137480,26560,2660,34460,98020,107180,9900,5920,9380,8320,25560,5240,80,80,60,420,0,81520,62760,1580,1720
"NER",722780,796300,605760,843980,1293780,352520,285800,337280,458640,409260,1801420,626820,731140,973700,1359720,1378420,652980,228080,723120,426380,1224160,631680,1083800,1261140,43660,1180,5640,26340,16020,7440,15420,5440
"NGA",2593420,2795700,2735560,3651820,3235360,2314860,1551320,1518160,673560,2313640,880520,1719300,1094680,2121620,247860,1773500,427700,2861960,4343020,4243660,3362140,840140,2825160,630420,2218540,14080,52260,199200,25440,169820,376860,128940
"NIC",4480,4520,2240,3060,19120,51000,15840,6280,0,0,0,46640,6780,60,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIU",40,0,0,0,420,140,0,20,20,NA,2420,0,0,40,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"NLD",1540,1900,9600,1640,480,1800,4540,30380,2480,320,1180,9440,9360,6040,3680,1140,420,180,47360,20380,NA,60,80,220,80,20,200,2180,300,300,1020,200
"NOR",91720,219480,123620,35500,26240,24380,11260,2660,260,1900,340,1460,140,120,360,460,220,NA,NA,0,80,100,160,140,0,0,NA,80,40,60,780,80
"NPL",5080,25360,22340,40840,19040,1360,3800,3860,3420,3640,1860,2720,1180,28020,96200,144260,253540,115420,NA,187940,216980,134980,266880,241480,100460,56760,28300,41780,3780,3800,47180,67240
"NRU",0,20,NA,NA,NA,20,0,NA,0,6000,NA,NA,NA,NA,0,NA,1160,NA,20,0,0,0,NA,0,0,0,0,0,0,NA,0,220
"NZL",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,184780,NA,1380,660,NA,NA,40820,3280,2120,1300,1300,420,1320,660,400,400,500,NA,3960,860,11940,1360
"OMN",813580,332900,183020,193040,83220,40020,76080,121040,85100,25240,4400,36680,62160,3620,1360,920,240,100,180,300,300,100,20,360,500,260,480,360,380,60,100,260
"PAK",580200,397800,420080,346440,533720,846080,919920,1110860,46980,435700,12340,59340,39340,28420,34400,21800,36960,46660,58800,41280,76980,78060,94800,84960,59620,152820,56020,22580,17260,86420,87720,160920
"PAN",86640,80280,11900,7160,85900,83980,37700,7560,6020,37820,48600,16900,1800,60,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
"PER",201420,254160,152380,260780,187860,121980,124800,115700,22900,14740,20280,452100,34600,13400,7060,2100,1900,200,240,20,0,0,0,0,0,0,0,20,0,0,0,0
"PHL",540620,719780,873680,1505800,1259180,1187500,1637920,1416020,1379720,858760,580740,786080,150820,60120,78260,NA,184360,39680,59620,142400,147200,140060,210220,60500,2360,180,10600,6820,29380,127360,130760,30720
"PLW",0,0,0,0,0,0,0,0,20,0,0,0,1860,0,0,0,0,20,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
"PNG",330380,255420,200460,197480,113600,380480,204120,130860,195980,91500,54800,132680,164240,136420,74600,46260,13560,22960,126080,142700,80460,352400,77260,27700,24440,20,0,0,0,0,0,0
"POL",705660,152400,225420,1088060,713600,136120,25720,20100,144500,1129420,48380,73900,28200,17280,15040,12780,6760,45100,1980,1540,2660,680,960,220,260,2400,800,NA,2300,260,NA,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,71000,0,0,0,0,0
"PRT",NA,NA,NA,NA,NA,NA,16260,45700,235820,8140,5500,4160,17620,64600,3840,2240,2580,1920,1000,900,NA,160,160,100,140,0,0,20,60,100,40,460
"PRY",8560,10620,25180,19580,13320,12200,34840,15100,7720,27920,10520,17280,41320,2440,1460,260,2860,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",29780,10120,16320,17720,28200,41900,8180,7640,21660,6280,11260,1360,1720,620,0,760,8780,2320,NA,920,460,680,480,580,1480,2880,7220,NA,2240,5900,2020,3200
"ROU",431680,1233640,94460,42160,100140,680740,236660,36200,77400,93820,35460,121220,566420,124560,43760,18120,471580,190940,4800,700,200,280,180,2340,100860,63920,7060,240,160,3860,83780,149000
"RUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,367400,408980,371400,1489260,573440,132600,142400,57480,124300,148560,96000,41440,11600,65820,48880,9080,22940,3460,540,2020,2580,12580,42460
