"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Czech Republic",7.09598592310916,7.11204334489638,7.04190270182777,7.36000963997116,8.05789031539503,8.69878993788295,9.60728792488911,10.4926968489107,11.3605274470634,12.2170200130407,13.0691483843299,13.8673883767702,14.6573960821585,15.4287875384922,16.1802514871604,16.9178426890896,17.6389801876858,18.3582994266967,19.0654455859779,19.7589066240844,20.442412162162,21.1594632322326,21.8784867565964,22.5941726413989,23.3060523254626,24.0088151332943,24.7116015160979,25.4119603385754
"Denmark",9.43893643395418,9.993665895346,10.5406974394567,11.0182255291628,11.5301615681443,12.113447709847,12.718668537698,13.2634776640204,13.8719737984912,14.5550343638074,15.2671336894705,16.0285742440458,16.7719704970653,17.5088867441786,18.2279725894339,18.9307528742134,19.6153886070092,20.2059673244932,20.7410294499375,21.1950899982267,21.6121411587812,22.183707512526,22.8078775903809,23.4342724356652,24.0255643229198,24.5946280480255,25.1252892362741,25.6645581025636
"Djibouti",7.24983719493694,7.42988959209351,7.34471195730303,7.23628577159397,7.19833762269529,7.12412185801513,7.11784285219221,7.13219425593162,6.79245714515003,6.46247240261947,6.34859500311801,6.41265717938851,6.53684469223754,8.55552217652209,8.91634026065068,8.65442945591567,9.21267802140542,8.63988001980653,8.41814685689493,9.96102858082776,9.91097033175766,9.87116453490314,10.2047480849982,11.7685962144232,10.2805370758777,9.37906190871433,8.79877718474228,8.46396319367617
"Dominica",10.7479793132124,11.1952835943092,11.7500330298751,12.273228942512,12.7710351612306,13.2432359474137,13.7791209204294,14.3103341753029,14.8364339493649,15.3574767341945,15.8746432331956,16.4471228021614,17.0130161028091,17.569656956607,18.1161007084981,18.6537318432849,19.2190928216659,19.8009001329548,20.3974613898604,21.0075859297913,21.6310922477799,22.0951568809264,22.5484441096737,22.9439792209685,23.2741364460371,23.5801866945647,23.9086969266845,24.2561418433242
"Dominican Republic",7.84773979698424,8.10666231463774,8.26522927520169,8.26284293667434,7.98241413570236,7.66643506486546,7.75400254147096,7.93536631873993,8.19982727567288,8.53577526628606,8.93811453177596,9.37967203596504,11.3752934743965,11.5465707300048,12.4817014775372,12.8011631106756,12.6668153873967,6.20560295899571,6.2787176933021,6.45086573172049,6.69079529479066,8.94089935052446,8.50954282702,8.31412215137296,8.27377978458968,8.33997930795858,8.45493134591126,8.62856731534432
"Ecuador",7.55922292282098,7.63119958219181,7.82228806194681,8.25722328950418,8.71496937504186,8.95171322773988,9.11517561689097,9.25306636611398,9.59325488113822,10.1969418748011,10.8730450766283,11.5473998279076,12.2073504115399,16.8421478065489,16.9021855769318,8.92749397303963,8.90443163306529,9.04063811106718,9.23028469154208,10.7965520057458,10.7787789576361,10.8083351349987,10.9030114726019,11.077344966316,11.2858226482729,11.5230593346027,11.7506931643946,11.9978131233046
"Egypt",8.91183623212641,9.38830373467123,9.88402407426336,10.2870563933582,10.5674977175323,10.7912629045572,11.0319742395974,11.2422360675319,11.4042393387468,11.4872212378721,11.4821504832101,11.3463007463485,11.1731137659399,11.0270937873237,10.9552688977742,10.9583479946613,11.0044063145348,11.0761685458048,10.9951428528967,10.3127631965149,11.6280615164294,11.095684322086,10.6324926133425,10.3456497326551,10.2537132181437,10.1330965405396,9.8921050434608,9.59550301520291
"El Salvador",8.3225183179465,8.52197928134617,8.38213622587023,8.62928648652454,9.04031514686514,9.52687124348959,10.2214408696683,10.9182071335533,11.6068262668025,12.2638918487943,12.9097085213855,13.6008343804186,14.7588084833244,15.2936709505561,15.8312701168527,11.2983646941702,13.0053840567691,13.4855432110247,14.1757151934013,12.6970799851516,12.5836339778631,12.4631273929565,12.4708701710516,12.6850595951728,12.9613655116343,13.188057710798,13.1743292287499,13.1266322405322
"Equatorial Guinea",5.87869895788613,6.65636334275092,7.27943659070602,7.74399380498474,8.10783915199715,8.42130627497295,8.7815015232856,9.11513623348506,9.42271166827508,9.19779458516543,8.68561232365564,8.33630154134389,8.07407230912426,7.86705538217227,7.70040890327032,7.56081476162482,7.39445055855724,7.29870487763599,7.2785776024462,7.28973570876478,8.32680357136538,8.03753334593994,7.75122727778788,8.16659305263285,7.95416665748313,7.85169912330148,7.72768293428122,7.60497156467028
"Eritrea",5.40530195652308,5.5471205105887,5.78065754094725,6.18668221398688,6.18693756332011,6.61454377665767,7.03139639767015,7.4565681932099,7.8433033020542,8.27798692295983,8.53335025717585,9.64406663471178,9.32636840351562,9.24276538630673,8.68408794552972,9.15458635441651,9.09891792910214,9.86461263593936,9.69746350612898,9.61595512046216,9.59215381421772,9.65935546819381,9.76693909108676,9.8947366552999,10.0397494307582,10.1997149903369,10.2830386050192,10.3478852777216
"Estonia",6.47747431202447,6.71439834596644,6.94705529457318,7.63892688698854,8.47951812865169,9.17495020602629,9.80396009807405,10.5021165410044,11.2415002307838,12.0219543009351,12.8361637582275,13.5159658551404,14.2367749048424,14.9763831596465,15.7257345009104,16.4756372045492,17.1129223766383,17.7569623879727,18.4057132485684,19.060662364038,19.7181161908724,20.3675034997084,21.0119935913954,21.6677611080225,22.3336059155126,22.999448515867,23.6177524518006,24.2239642634388
"Ethiopia",5.62525075930055,5.72592329147139,5.72432498283388,5.77893326164963,6.04346950923416,6.30230476864662,6.54592691751421,6.81560125762972,6.974128112639,7.01113371275715,7.0184195477093,9.80352212251576,9.92946723576919,11.7136966213511,11.2778518645611,10.6750719022853,11.2131087779447,10.8726658766026,12.4265102615531,12.3827236017403,12.8240734351092,13.8786605785656,13.9210417581352,11.2269491335903,14.0600880713981,11.1819080665303,9.38526992277982,8.2814307936415
"Fiji",8.30463259084626,8.91690573539415,9.58536216669955,10.2037884611176,10.7423845592338,11.2217357837541,11.6089031255117,11.423610709836,10.7712192009372,10.3088232571945,10.1183913575572,10.0305917124853,10.0786134316065,10.2108474582604,10.3927931721987,10.6746442260285,11.0213357717597,14.1906006743415,14.2763521443479,14.4011953757708,14.5614092970129,14.7457163130063,14.9606554921311,15.1964324779306,15.4470777078912,15.6933850132126,15.8836254297933,16.0696566295225
