"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"CRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJI",NA,500.11714395968,1013.85868192967,2000.38035180032,520.145212235019,1061.29971229696,466.766473136925,954.036097710108,921.620436031713,512.539903552975,364.204680120148,463.228499918534,384.128585052841,938.225384232967,425.595629255663,842.478738940103,1090.49711506378,608.11021709677,744.269731897617,587.652038136394,486.912643891062,458.944118763622,429.930771385324,433.419722763254,861.175255015276,375.966034437458,397.455128308432,496.704767027865,362.682346714515,397.476096777591,429.127882317738,1053.44885634237
"DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DZA",24004.2580876223,35496.5763724973,34439.4414992966,34612.607544613,29873.4814045016,22977.2480843017,20494.1305117049,19369.8272665098,16322.7070733397,15587.1093273423,16255.8798073948,17073.6209776757,15795.9595665828,14151.8767361782,14620.5644563146,17613.0082789514,10272.4902056599,11312.9510316893,11639.6436827959,12634.0750652638,13967.2354494603,14360.0484335027,14580.2225001064,3699.06797863913,6821.5565666019,9418.50605136987,11654.645610607,12071.843166385,13559.8681395954,14637.7692550278,15357.2013654649,15143.0382620934
"ECU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGY",6425.63446244371,6040.76284271909,4053.16545147319,13645.0319369073,12575.2645752149,4890.51810301358,4812.28236746291,8542.0968540314,8391.51231337303,3604.84713246913,3943.27293905039,9919.2861413336,5614.16014571654,3754.5263760253,4363.60339038337,9084.76926116572,8095.24646680514,8528.68549155882,4006.87372759684,5590.29244784324,4709.38330369553,2729.38285091428,2144.02097203398,2336.84800547058,2528.26068860766,4561.18209290954,5305.14715149805,2730.65534981746,2691.26533950481,1775.33415980853,2504.25166508211,3306.95936495559
"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4011.38206832801,1814.018995248,3624.25526790499,5337.25052578154,2102.4959140878,2048.52997481627,5047.10116748203,1511.91812022783,3245.51142763718,2320.60585429384,594.129833995094,527.330863420785,1251.27309127937,718.345912276595,437.017328671004,894.200990497884,724.975858441028,665.869373257291,1595.50139780527
"ESP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETH",7490.11724812622,13690.795207428,20940.7987916302,18947.4736589936,34585.8130174994,42463.2865971055,48882.2704415211,54352.8194042346,58452.5155817068,60861.9080066628,64085.822822004,67254.0953909477,69211.6360566888,68993.5927863213,69895.0925588297,69693.6857795159,69870.0469151494,70893.561298447,72748.0773403877,73911.2308557788,21393.9430896907,27530.4468874016,28935.4562462739,24876.157722612,18897.0817185334,22392.9595771144,6193.79185145769,9901.80099019371,13584.9770754821,12573.4220167812,4264.82421248881,4453.40660677824
"FIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
