"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"EGY",552853.788458082,932282.243688413,429595.908639727,1805551.43429967,1841639.33859044,596940.059339856,595191.971742938,1243051.43321941,1333533.29730805,469861.018737981,414525.354603707,1636556.7109631,986081.028146054,546337.309222887,590558.058918915,1545510.47108364,1513377.58396577,1602044.47794454,642205.234092077,838732.237152708,705121.189062754,316260.877477476,72686.6435078144,52267.2017280516,41580.871113703,198664.106401611,540459.283216772,286522.532463935,220935.175165927,21874.2576108619,19608.2756806571,37635.2657187396
"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75216.8641821894,32614.9573348633,76898.4263577888,106071.860069406,46341.5441753369,42566.5810905535,116343.437869143,30797.3480811351,68086.1161098716,50402.5328753416,4103.47043142651,4113.45621178172,17086.3690379883,7719.36500520261,4016.43307628872,10594.0778320498,6788.70173434441,7397.05955277138,26594.1919985388
"ESP",733445,797810,1521750,194570,403315,1100545,175730,113505,164540,108250,122225,122300,59925,33980,44245,24820,9210,2230,1230,760,NA,335,1280,130,110,1810,1335,1485,205,1510,19010,6020
"EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,165,645,355,1560,1150,85,95,90,85,60,45,0,0,0,0,10,135,5,0,0,0,35,20
"ETH",31591.0168470193,70722.2598430545,111026.330207868,138966.976981866,514864.682645779,572981.782460463,629174.379533728,685783.054727625,729043.64329722,750303.569394093,797815.685221264,858074.028199341,898729.112270274,893282.498093949,915387.058136831,917127.878961359,926436.287689679,953138.693905998,1002295.42912443,1041920.49712044,257908.4937078,321853.020386848,332798.487769352,273695.166496698,191223.309441867,221444.28087554,37047.8157767192,57896.446170658,81570.2888833604,80840.8444548271,15957.4744854104,18397.5056806886
"FIN",19065,27010,23755,3645,3070,3705,3175,645,5160,15,40,25,0,5,30,0,0,5,NA,NA,5,0,0,0,5,0,0,25,10,25,135,0
"FJI",23495.0913004761,21108.948121211,8028.35312623932,19352.1463326899,4512.19956804905,9090.68753916872,25881.9821105088,14551.3630525007,2779.91555988917,1726.56282362049,3969.88359279108,26401.310843811,10743.201939249,1823.02592619727,10719.7962316051,1896.02691034698,21375.832699569,445.824843013978,3684.87910292382,7151.73616874155,1840.15055894,7199.31923343936,7210.51360379809,1609.07006668785,2548.10438152958,3178.62521323407,412.801517757872,240.511937915394,207.404030822569,150.514979675094,502.899932109526,285.283238861536
"FRA",5660,4060,4350,4890,1995,4655,NA,NA,NA,NA,784245,547740,386160,220025,271195,330000,4e+05,NA,NA,50000,NA,25925,NA,22240,180,200,195,3020,7705,25240,74745,0
"FSM",NA,NA,NA,NA,NA,NA,NA,514.896659012533,502.36300588404,573.337617836364,666.028602080615,741.180031993267,775.955511607336,1095.72982639226,861.84188297431,739.518337411396,682.984578997433,610.922373363401,661.392960700868,619.090250233833,569.263830584138,506.223860604182,461.890173753036,429.093707442957,382.489370983735,364.63908301485,332.962017037558,317.704780784219,300.661100439325,297.675977396428,154.400165006843,159.288321404045
"GAB",18491.0763197488,14173.9323086541,33475.1005413051,56373.9227803347,39040.5950635305,53467.6291547779,18549.581824991,7589.22925499149,13095.0049316895,7057.91433705027,8357.76027707129,9377.3474221424,7880.05366073111,9873.87198916654,11855.9057919484,4003.62377762395,6410.47868563655,8895.02124704126,11324.3279073313,3760.72900851876,8189.22406687861,4020.53180206052,6703.71002550668,3153.93913812437,296.458516695394,1134.34828880213,1254.46348783547,393.009786743271,861.408883676094,1175.89795452765,1262.14852888988,1334.12846949172
