,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
JAM,2759,2715,2671,2627,2583,2539,2470.8,2402.6,2334.4,2266.2,2198,2160.4,2122.8,2085.2,2047.6,2010,1980.4,1950.8,1921.2,1891.6,1862,1816.2,1770.4,1724.6,1678.8,1633,1579.2,1525.4,1471.6,1417.8,1364,1323.2,1282.4
JOR,5684,5499.8,5315.6,5131.4,4947.2,4763,4694,4625,4556,4487,4418,4432.2,4446.4,4460.6,4474.8,4489,4425.2,4361.4,4297.6,4233.8,4170,4130.4,4090.8,4051.2,4011.6,3972,3971.2,3970.4,3969.6,3968.8,3968,3921.8,3875.6
JPN,16522,15460.4,14398.8,13337.2,12275.6,11214,10624.6,10035.2,9445.8,8856.4,8267,7968.6,7670.2,7371.8,7073.4,6775,6499,6223,5947,5671,5395,5169.6,4944.2,4718.8,4493.4,4268,4125.6,3983.2,3840.8,3698.4,3556,3434,3312
KAZ,28242,28066.4,27890.8,27715.2,27539.6,27364,26546.2,25728.4,24910.6,24092.8,23275,21842.6,20410.2,18977.8,17545.4,16113,15055.6,13998.2,12940.8,11883.4,10826,10740.4,10654.8,10569.2,10483.6,10398,10465.6,10533.2,10600.8,10668.4,10736,10545.8,10355.6
KEN,95705,96408.4,97111.8,97815.2,98518.6,99222,100327.4,101432.8,102538.2,103643.6,104749,106894.4,109039.8,111185.2,113330.6,115476,118422.8,121369.6,124316.4,127263.2,130210,130992.8,131775.6,132558.4,133341.2,134124,132464.8,130805.6,129146.4,127487.2,125828,123588.6,121349.2
KGZ,10898,11042.2,11186.4,11330.6,11474.8,11619,11397.6,11176.2,10954.8,10733.4,10512,10036,9560,9084,8608,8132,7658,7184,6710,6236,5762,5662.2,5562.4,5462.6,5362.8,5263,5430.8,5598.6,5766.4,5934.2,6102,6179.4,6256.8
KHM,97286,88232.6,79179.2,70125.8,61072.4,52019,50780.2,49541.4,48302.6,47063.8,45825,44849.6,43874.2,42898.8,41923.4,40948,39403.4,37858.8,36314.2,34769.6,33225,31836.2,30447.4,29058.6,27669.8,26281,25382.4,24483.8,23585.2,22686.6,21788,21157.2,20526.4
KIR,261,260,259,258,257,256,252.4,248.8,245.2,241.6,238,231.6,225.2,218.8,212.4,206,196.8,187.6,178.4,169.2,160,153.2,146.4,139.6,132.8,126,122.2,118.4,114.6,110.8,107,104.4,101.8
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,30926,28454.6,25983.2,23511.8,21040.4,18569,17037.2,15505.4,13973.6,12441.8,10910,10178.8,9447.6,8716.4,7985.2,7254,6637.6,6021.2,5404.8,4788.4,4172,3914.8,3657.6,3400.4,3143.2,2886,2783,2680,2577,2474,2371,2263.4,2155.8
KWT,1958,1840.2,1722.4,1604.6,1486.8,1369,1234.2,1099.4,964.6,829.8,695,667.2,639.4,611.6,583.8,556,567.4,578.8,590.2,601.6,613,619.8,626.6,633.4,640.2,647,667,687,707,727,747,753,759
LAO,26212,26348.2,26484.4,26620.6,26756.8,26893,26705.8,26518.6,26331.4,26144.2,25957,24951,23945,22939,21933,20927,19615.6,18304.2,16992.8,15681.4,14370,13722.2,13074.4,12426.6,11778.8,11131,10769,10407,10045,9683,9321,8902.8,8484.6
LBN,3532,3409,3286,3163,3040,2917,2788.6,2660.2,2531.8,2403.4,2275,2163.6,2052.2,1940.8,1829.4,1718,1610.6,1503.2,1395.8,1288.4,1181,1095.8,1010.6,925.4,840.2,755,726.2,697.4,668.6,639.8,611,610.4,609.8
LBR,22291,22570.6,22850.2,23129.8,23409.4,23689,23430.4,23171.8,22913.2,22654.6,22396,22093.2,21790.4,21487.6,21184.8,20882,20637.2,20392.4,20147.6,19902.8,19658,18951.8,18245.6,17539.4,16833.2,16127,15597.6,15068.2,14538.8,14009.4,13480,13262.8,13045.6
LBY,9597,9147.8,8698.6,8249.4,7800.2,7351,6971.2,6591.4,6211.6,5831.8,5452,5165.8,4879.6,4593.4,4307.2,4021,3856.6,3692.2,3527.8,3363.4,3199,3116.2,3033.4,2950.6,2867.8,2785,2697.8,2610.6,2523.4,2436.2,2349,2260.8,2172.6
