iso,year,target,reached,reached_pct,intervention,region,country,campaigntype,extent,agemin,agemax,reachedtot,targettot,reachedpct_recalc,pop_u15,agespan,popdenom_forcoverage,coverage
LAO,2001,636730,543000,86,Meas,WPRO,Laos,FollowUp,Rollover,0.75,4.92,543000,636730,85,2347610,4.17,652635.6,83.2
MLI,2001,5074610,4998491,99,Meas,AFRO,Mali,CatchUp,National,0.75,14,4998491,5074610,98,4876600,13.25,4307664,99
PER,2001,2610926,2532598,97,MM,AMRO,Peru,FollowUp,National,1,4,2532598,2610926,96,8885327,3,1777065,97
SLV,2001,636802,624066,98,MM,AMRO,El Salvador,FollowUp,National,1,4,624066,636802,98,2207415,3,441483,98
TGO,2001,2425946,2393700,99,Meas,AFRO,Togo,CatchUp,National,0.75,14,2393700,2425946,98,2302566,13.25,2033933,99
TUN,2001,547736,514900,94,Meas,EMRO,Tunisia,FollowUp,Rollover,0.75,4.92,514900,547736,94,2781234,4.17,773183.1,66.6
TZA,2001,3548012,3687390,99,Meas,AFRO,Tanzania,CatchUp,Rollover,0.75,14,3687390,3548012,103,15648869,13.25,1.38E+07,26.7
AFG,2002,11880449,8791532,74,Meas,EMRO,Afghanistan,CatchUp,National,0.5,14,8791532,1.19E+07,73,10308251,13.5,9277426,94.8
ARG,2002,2117920,1842590,87,MR,AMRO,Argentina,FollowUp,National,1,5,1842590,2117920,86,10212212,4,2723257,67.7
BDI,2002,3270666,2767054,90,Meas,AFRO,Burundi,CatchUp,Rollover,0.75,14,2767054,3270666,84,3014977,13.25,2663230,90
CMR,2002,5083807,4570817,90,Meas,AFRO,Cameroon,CatchUp,Rollover,0.75,14,4570817,5083807,89,7043987,13.25,6222189,73.5
COD,2002,5774245,5554824,96.2,Meas,AFRO,DRCongo,CatchUp,Rollover,0.5,15,5554824,5774245,96,25863134,14.5,2.50E+07,22.2
COL,2002,3791135,3600500,95,Meas,AMRO,Colombia,FollowUp,National,1,4,3600500,3791135,94,13155550,3,2631110,95
CRI,2002,282438,241761,86,MMR,AMRO,Costa Rica,FollowUp,National,1,4,241761,282438,85,1246741,3,249348.2,97
CUB,2002,896974,789337,88,Meas,AMRO,Cuba,FollowUp,National,4,9,789337,896974,87,2239598,5,746532.7,88
DJI,2002,91068,72854,80,Meas,EMRO,Djibouti,CatchUp,Rollover,0.75,4.92,72854,91068,79,306335,4.17,85161.13,85.5
ECU,2002,4131527,4144140,99,MR,AMRO,Ecuador,CatchUp,National,0.42,14,4144140,4131527,100,4255761,13.58,3852882,99
EGY,2002,3500000,3220000,92,Meas,EMRO,Egypt,FollowUp,National,3,4.92,3220000,3500000,92,25764523,1.92,3297859,97.6
ETH,2002,2316214,2277988,98.3,Meas,AFRO,Ethiopia,CatchUp,Rollover,0.75,14,2277988,2316214,98,31450593,13.25,2.78E+07,8.2
GHA,2002,7673593,7827065,99,Meas,AFRO,Ghana,CatchUp,Rollover,0.75,14,7827065,7673593,102,8318729,13.25,7348211,99
GIN,2002,789203,774138,98,Meas,AFRO,Guinea,CatchUp,Rollover,0.75,14,774138,789203,98,3816795,13.25,3371502,23
IRQ,2002,3665962,3619402,99,Meas,EMRO,Iraq,FollowUp,National,0.75,4.92,3619402,3665962,98,11094928,4.17,3084390,99
KEN,2002,13582031,13302991,98,Meas,AFRO,Kenya,CatchUp,National,0.75,14,1.33E+07,1.36E+07,97,14389122,13.25,1.27E+07,98
KHM,2002,2021339,2078520,99,Meas,WPRO,Cambodia,CatchUp,Rollover,0.75,14,2078520,2021339,102,5276850,13.25,4661218,44.6
KIR,2002,1376,1270,92,Meas,WPRO,Kiribati,FollowUp,National,1,4.92,1270,1376,92,28467,3.92,7439.376,17.1
