"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"LCA",335,5097.5,177.5,32.5,22.5,80,10,10,25,75,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",15580,33182.5,20427.5,33037.5,23495,15587.5,8770,6575,1950,10010,4740,1752.5,1395,1415,1020,395,487.5,442.5,6042.5,41317.5,772.5,347.5,162.5,87.5,7.5,0,110,82.5,52.5,197.5,150,127.5
"LSO",19060,17352.5,13097.5,14552.5,18405,10940,6120,4492.5,3445,5487.5,5877.5,4540,587.5,1432.5,760,NA,0,NA,2360,1650,542.5,0,2.5,77.5,NA,2.5,5,0,0,6220,430,447.5
"LTU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.5,500,622.5,715,470,87.5,75,45,57.5,47.5,17.5,257.5,2.5,2.5,2.5,2.5,0,2.5,0,5,17.5,0
"LUX",535,607.5,52.5,87.5,155,67.5,382.5,45,30,40,2.5,120,10,2.5,2.5,62.5,2.5,NA,NA,0,NA,NA,2.5,0,NA,20,0,2.5,0,0,15,5
"LVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,15,620,135,25,5,7.5,10,7.5,0,0,2.5,NA,NA,0,5,17.5,0,7.5,0,0,2.5,7.5
"MAR",273715,132900,202015,28710,10540,38332.5,66552.5,5765,4222.5,3942.5,5312.5,15020,21077.5,8780,5950,3310,6280,19657.5,27132.5,18420,6810,15000,27102.5,15997.5,NA,3042.5,5620,3637.5,2085,1582.5,2455,1670
"MCO",30,0,0,0,0,0,0,0,0,0,NA,400,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"MDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,8105,1552.5,805,2165,9877.5,2935,860,910,1682.5,612.5,1717.5,1142.5,12322.5,217.5,10,15,85,25,0,0,0,0,27.5
"MDG",351632.5,211235,254812.5,167235,174710,53865,27102.5,42672.5,74135,36147.5,14560,4615,15150,35410,29327.5,14902.5,34662.5,38775,87990,88140,23392.5,26987.5,155582.5,88895,NA,5,0,7.5,0,2.5,0,5
"MDV",3697.5,0,0,0,5072.5,0,0,0,0,0,0,0,152.5,1765,7675,0,NA,0,NA,50,0,2315,187.5,92.5,3487.5,117.5,50,0,15,0,0,0
"MEX",27840,15910,8420,12895,59565,24560,6940,9787.5,50952.5,171955,12692.5,1332.5,430,320,610,5,0,0,0,75,7.5,0,110,160,15,57.5,0,0,0,0,7.5,0
"MHL",0,0,0,0,10,2.5,0,NA,32.5,35,47.5,25,22.5,0,NA,0,0,0,0,0,0,0,2817.5,0,0,0,0,NA,0,0,0,0
"MKD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.5,450,6237.5,572.5,542.5,2640,910,NA,132.5,90,67.5,47.5,45,22.5,12.5,7.5,2.5,67.5,12.5,542.5,1752.5,0
"MLI",21032.5,41080,21897.5,11235,74330,11672.5,10880,11195,9012.5,3470,33682.5,19575,26487.5,8550,8265,27487.5,8827.5,25600,6265,3945,11160,1792.5,580,430,82.5,320,5,245,7347.5,4297.5,60,852.5
